Plate,Well,Buffer,Temperature,Time_Factor,Time_Cont,Extraction,Technical_rep,PCR_rep,qs_conc_pg/mL,qs_conc_adjusted,Eamc_sample,Cq_sample,No_standard,Eamc_standard,Cq_standard,No_sample_ng/ul,No_sample_pg/mL
1 eDNA Pres I,D10,Ethanol,-20,2 weeks,2,Kit,1,6,58318.65594,58318.65594,1.818,27.42,1.14,1.819,22.686,0.067916535,67916.53537
1 eDNA Pres I,D11,Ethanol,-20,2 weeks,2,Kit,1,7,50565.13101,50565.13101,1.83,27.657,1.14,1.819,22.686,0.049525809,49525.80942
1 eDNA Pres I,D12,Ethanol,-20,2 weeks,2,Kit,1,8,51632.68,51632.68,1.791,27.597,1.14,1.819,22.686,0.093131314,93131.31445
1 eDNA Pres I,E12,Ethanol,-20,2 weeks,2,Kit,1,9,47040.71581,47040.71581,1.797,27.798,1.14,1.819,22.686,0.075196381,75196.38089
2 eDNA Pres I,C4,Ethanol,-20,2 weeks,2,Kit,2,1,17358.45581,17358.45581,1.677,29.241,1.14,1.813,22.66,0.220392875,220392.8752
2 eDNA Pres I,C5,Ethanol,-20,2 weeks,2,Kit,2,2,17275.69476,17275.69476,1.661,29.215,1.14,1.813,22.66,0.2993333,299333.3001
2 eDNA Pres I,C6,Ethanol,-20,2 weeks,2,Kit,2,3,18217.52451,18217.52451,1.667,29.133,1.14,1.813,22.66,0.278952655,278952.6546
2 eDNA Pres I,D4,Ethanol,-20,2 weeks,2,Kit,2,4,16994.72591,16994.72591,1.68,29.285,1.14,1.813,22.66,0.20477724,204777.2398
2 eDNA Pres I,D5,Ethanol,-20,2 weeks,2,Kit,2,5,17942.89052,17942.89052,1.654,29.122,1.14,1.813,22.66,0.350854001,350854.0012
2 eDNA Pres I,D6,Ethanol,-20,2 weeks,2,Kit,2,6,19090.65247,19090.65247,1.665,29.04,1.14,1.813,22.66,0.303840388,303840.3875
2 eDNA Pres I,E4,Ethanol,-20,2 weeks,2,Kit,2,7,20901.71166,20901.71166,1.676,28.921,1.14,1.813,22.66,0.264620695,264620.695
2 eDNA Pres I,E5,Ethanol,-20,2 weeks,2,Kit,2,8,20987.81615,20987.81615,1.658,28.881,1.14,1.813,22.66,0.369514142,369514.1424
2 eDNA Pres I,E6,Ethanol,-20,2 weeks,2,Kit,2,9,18138.53532,18138.53532,1.658,29.118,1.14,1.813,22.66,0.327632269,327632.2694
2 eDNA Pres I,G2,Ethanol,-20,2 weeks,2,Kit,3,1,33680.97544,33680.97544,1.753,28.201,1.14,1.813,22.66,0.109181695,109181.6953
2 eDNA Pres I,G3,Ethanol,-20,2 weeks,2,Kit,3,2,43580.89343,43580.89343,1.774,27.807,1.14,1.813,22.66,0.097174276,97174.27647
